date,gross_notional,net_exposure,open_legs,daily_pnl,daily_trade_flow,cum_pnl
2016-01-07,163.0,-163.0,2,0.0,163.0,0.0
2016-01-08,176.0,-176.0,2,-13.0,0.0,-13.0
2016-01-11,149.0,-149.0,2,26.999999999999993,0.0,13.999999999999993
2016-01-12,1646.0,-1646.0,6,4.0,1501.0,17.999999999999993
2016-01-13,1908.0,-1908.0,6,-262.0000000000001,0.0,-244.0000000000001
2016-01-14,1736.0,-1736.0,6,172.0000000000001,0.0,-72.0
2016-01-15,2012.9999771118164,-2012.9999771118164,6,-276.9999771118164,273.9999771118164,-348.9999771118164
2016-01-19,3759.0,-779.0,8,143.9999999999999,2164.0,-204.99997711181652
2016-01-20,3576.0,-586.0000000000001,10,567.9999999999999,375.0,363.00002288818337
2016-01-21,11642.0,-7352.0,20,-424.99999999999983,7771.0,-61.99997711181646
2016-01-22,12240.000452041626,-7888.000452041626,20,-536.0004520416257,1476.0004520416257,-598.0004291534422
2016-01-25,27336.0,-530.0000000000005,20,231.9999999999999,16850.0,-366.00042915344227
2016-01-26,26697.0,-597.0000000000005,20,-66.99999999999916,0.0,-433.0004291534414
2016-01-27,25655.0,-255.0,20,341.99999999999903,0.0,-91.00042915344238
2016-01-28,29501.0,-541.0000000000002,20,-286.0000000000007,0.0,-377.00042915344306
2016-01-29,19668.0009765625,2565.9990234375,20,3106.999023437501,2501.0009765625,2729.9985942840576
2016-02-01,17320.0,4420.0,8,-647.0000000000003,0.0,2082.998594284057
2016-02-02,16710.0,4980.0,8,559.9999999999999,0.0,2642.998594284057
2016-02-03,16705.0,6310.999999999999,14,3324.0000000000005,2571.0,5966.998594284058
2016-02-04,15068.0,7503.999999999999,14,1193.0,0.0,7159.998594284058
2016-02-05,17315.000549316406,8124.999450683594,14,620.9994506835943,2124.0005493164062,7780.998044967652
2016-02-08,16963.0,10495.0,12,246.0,0.0,8026.998044967652
2016-02-09,17333.0,10763.0,12,267.9999999999994,0.0,8294.998044967651
2016-02-10,17227.0,9677.0,12,-1085.9999999999998,0.0,7208.998044967651
2016-02-11,15865.0,10381.0,12,704.0000000000009,0.0,7912.998044967652
2016-02-12,15067.00044631958,9852.99955368042,12,-528.0004463195808,2607.00044631958,7384.997598648071
2016-02-16,11645.0,11645.0,8,-815.0000000000002,0.0,6569.997598648071
2016-02-17,11211.0,11211.0,8,-433.99999999999994,0.0,6135.997598648071
2016-02-18,12233.0,12233.0,10,266.00000000000017,756.0,6401.997598648071
2016-02-19,11438.0,11438.0,10,-795.0000000000001,0.0,5606.997598648071
2016-02-22,19160.0,19160.0,12,-337.9999999999998,8060.0,5268.997598648071
2016-02-23,23816.0,23816.0,16,-234.99999999999986,4891.0,5033.997598648071
2016-02-24,23610.0,23610.0,16,-206.0000000000002,0.0,4827.997598648071
2016-02-25,24255.0,22215.0,18,-375.0000000000006,1020.0,4452.99759864807
2016-02-26,24223.0,21803.0,18,-411.9999999999994,0.0,4040.997598648071
2016-02-29,23848.0,21388.0,18,-415.0000000000002,0.0,3625.9975986480704
2016-03-01,23220.0,20720.0,18,-667.9999999999998,0.0,2957.9975986480704
2016-03-02,23161.0,20801.0,18,80.99999999999952,0.0,3038.99759864807
2016-03-03,23020.0,20640.0,18,-160.99999999999966,0.0,2877.9975986480704
2016-03-04,22761.99994659424,19550.00005340576,18,-1089.9999465942376,1605.9999465942383,1787.9976520538328
2016-03-07,21819.0,21819.0,16,662.9999999999999,0.0,2450.9976520538326
2016-03-08,22188.0,21776.0,18,162.99999999999903,206.0,2613.9976520538316
2016-03-09,22213.0,21777.0,18,1.000000000000366,0.0,2614.997652053832
2016-03-10,24016.0,22574.0,22,39.000000000000156,1802.0,2653.997652053832
2016-03-11,23388.0,21804.0,22,-769.9999999999995,0.0,1883.9976520538326
2016-03-14,23019.0,21453.0,22,-351.0,0.0,1532.9976520538326
2016-03-15,23192.0,21622.0,22,169.00000000000003,0.0,1701.9976520538326
2016-03-16,22949.0,21207.0,22,-415.0000000000004,0.0,1286.997652053832
2016-03-17,23156.0,21156.0,22,-50.999999999999766,0.0,1235.9976520538323
2016-03-18,23177.999771118164,20698.000228881836,22,-457.99977111816463,1239.999771118164,777.9978809356677
2016-03-21,29548.0,29548.0,24,-542.9999999999994,8152.999999999999,234.99788093566826
2016-03-22,28770.0,28770.0,24,-777.9999999999989,0.0,-543.0021190643306
