year,trades,win_rate,avg_pnl,cum_pnl,avg_ret
2016,63,42.9,-86.7,-5465.0,-25.3
2017,70,48.6,443.9,31074.0,25.4
2018,72,38.9,-292.5,-21060.0,-19.1
2019,71,42.3,573.9,40745.0,34.7
2020,73,56.2,1769.2,129152.0,28.4
2021,81,37.0,-1091.1,-88376.0,-18.2
2022,89,25.8,-1862.0,-165722.0,-44.6
2023,96,53.1,731.9,70264.5,30.1
2024,90,34.4,-240.6,-21655.0,-9.4
2025,90,52.2,937.8,84404.0,25.7
2026,23,39.1,-358.8,-8252.0,-19.8
