ticker,earn_dt,short_entry_dt,long_entry_dt,short_exit_dt,long_exit_dt,sc_entry,sp_entry,lc_entry,lp_entry,sc_exit,sp_exit,lc_exit,lp_exit,short_credit,short_debit,short_pnl,long_debit,long_credit,long_pnl,net_premium,total_pnl,return_pct
AAPL,2016-01-26,2016-01-19,2016-01-19,2016-01-29,2016-04-25,4.2,2.54,8.0,6.9,2.339996337890625,0.0,10.3,0.47,674.0,233.9996337890625,440.0003662109375,1490.0,1077.0000000000002,-412.9999999999998,816.0,27.000366210937727,3.3088684082031525
AAPL,2016-04-26,2016-04-19,2016-04-19,2016-04-29,2016-07-25,3.8,1.9,7.15,5.9,0.0,11.260002136230469,0.23,8.35,569.9999999999999,1126.0002136230469,-556.000213623047,1305.0,858.0,-447.0,735.0000000000001,-1003.000213623047,-136.46261409837373
AAPL,2016-07-26,2016-07-19,2016-07-19,2016-07-29,2016-10-24,2.02,2.13,5.0,5.85,4.209999084472656,0.0,17.7,0.13,415.00000000000006,420.9999084472656,-5.999908447265568,1085.0,1782.9999999999998,697.9999999999998,670.0,692.0000915527341,103.28359575413944
AAPL,2016-10-25,2016-10-18,2016-10-18,2016-10-28,2017-01-30,4.0,1.55,7.6,5.65,0.0,1.279998779296875,7.05,0.73,555.0,127.9998779296875,427.0001220703125,1325.0,777.9999999999999,-547.0000000000001,770.0,-119.99987792968761,-15.584399731128261
AAPL,2017-01-31,2017-01-24,2017-01-24,2017-02-03,2017-05-01,2.25,2.25,5.15,5.75,9.080001831054688,0.0,26.5,0.02,450.0,908.0001831054688,-458.00018310546875,1090.0,2652.0,1562.0,640.0,1103.9998168945312,172.4999713897705
AAPL,2017-05-02,2017-04-25,2017-04-25,2017-05-05,2017-07-31,2.29,2.67,5.85,6.75,3.9600067138671875,0.0,5.45,2.12,496.0,396.00067138671875,99.99932861328125,1260.0,757.0,-503.0,764.0,-403.00067138671875,-52.74877897731921
AAPL,2017-08-01,2017-07-25,2017-07-25,2017-08-04,2017-11-01,1.95,4.1,7.1,9.6,1.3899993896484375,0.0,12.65,1.02,605.0,138.99993896484375,466.00006103515625,1670.0,1367.0,-303.0,1065.0,163.00006103515625,15.305170050249414
AAPL,2017-11-02,2017-10-26,2017-10-26,2017-11-03,2018-01-31,4.65,2.25,10.0,7.7,17.5,0.0,13.4,1.25,690.0,1750.0,-1060.0,1770.0,1465.0,-305.0,1080.0,-1365.0,-126.38888888888889
AAPL,2018-02-01,2018-01-25,2018-02-05,2018-02-02,2018-04-30,4.6,3.35,5.4,19.35,0.0,9.5,2.68,7.7,794.9999999999999,950.0,-155.0000000000001,2475.0,1038.0,-1437.0,1680.0,-1592.0,-94.76190476190476
AAPL,2018-05-01,2018-04-24,2018-04-24,2018-05-04,2018-07-30,3.5,5.45,8.85,10.95,18.830001831054688,0.0,25.3,0.43,894.9999999999999,1883.0001831054688,-988.0001831054689,1979.9999999999998,2573.0,593.0000000000002,1085.0,-395.00018310546864,-36.40554682999711
AAPL,2018-07-31,2018-07-24,2018-07-24,2018-08-03,2018-10-31,2.92,4.75,8.25,9.95,12.990005493164062,0.0,25.0,1.53,767.0,1299.0005493164062,-532.0005493164062,1820.0,2653.0,833.0,1053.0,300.99945068359375,28.584943084861703
AAPL,2019-01-29,2019-01-22,2019-02-19,2019-02-01,2019-04-29,3.8,4.95,19.35,2.64,11.520004272460938,0.0,49.55,0.04,875.0,1152.0004272460938,-277.00042724609375,2199.0,4959.0,2760.0,1324.0,2482.9995727539062,187.53773208111076
AAPL,2019-04-30,2019-04-23,2019-04-23,2019-05-03,2019-07-29,3.85,6.2,9.85,12.0,1.75,0.0,5.2,5.85,1005.0000000000001,175.0,830.0000000000001,2185.0,1105.0,-1080.0,1180.0,-249.9999999999999,-21.186440677966093
AAPL,2019-07-30,2019-07-23,2019-08-01,2019-08-02,2019-10-29,4.45,5.45,11.05,12.5,0.0,5.9799957275390625,32.1,0.43,990.0,597.9995727539062,392.00042724609375,2355.0,3253.0,898.0,1365.0,1290.0004272460938,94.50552580557464
AAPL,2019-10-30,2019-10-23,2019-11-08,2019-11-01,2020-01-27,7.5,4.2,26.55,5.7,15.82000732421875,0.0,68.7,0.52,1170.0,1582.000732421875,-412.000732421875,3225.0,6922.0,3697.0,2055.0,3284.999267578125,159.853978957573
AAPL,2020-01-28,2020-01-21,2020-02-13,2020-01-31,2020-04-29,6.8,9.95,20.0,14.25,0.0,10.489990234375,0.66,32.95,1675.0,1048.9990234375,626.0009765625,3425.0,3361.0,-64.0,1750.0,562.0009765625,32.11434151785714
AAPL,2020-04-30,2020-04-23,2020-06-08,2020-05-01,2020-07-29,6.3,10.85,57.85,3.5,9.07000732421875,0.0,98.85,0.13,1714.9999999999998,907.000732421875,807.9992675781248,6135.0,9897.999999999998,3762.999999999998,4420.0,4570.999267578123,103.41627302212947
AAPL,2020-10-29,2020-10-22,2020-10-26,2020-10-30,2021-01-26,4.05,3.3,11.0,11.1,0.0,6.1399993896484375,28.1,0.43,735.0,613.9999389648438,121.00006103515625,2210.0,2853.0,643.0,1475.0,764.0000610351562,51.796614307468225
AAPL,2021-01-27,2021-01-20,2021-02-12,2021-01-29,2021-04-27,5.05,3.0,12.8,7.55,1.9600067138671875,0.0,6.4,2.25,805.0000000000001,196.00067138671875,608.9993286132814,2035.0000000000002,865.0,-1170.0000000000002,1230.0,-561.0006713867189,-45.609810681847065
AAPL,2021-04-28,2021-04-21,2021-04-21,2021-04-30,2021-07-26,2.68,4.15,8.5,10.05,0.0,3.5399932861328125,14.4,0.6,683.0,353.99932861328125,329.00067138671875,1855.0,1500.0,-355.0,1172.0,-25.99932861328125,-2.2183727485734854
AAPL,2021-07-27,2021-07-20,2021-07-20,2021-07-30,2021-10-27,4.15,2.98,10.05,9.05,0.8600006103515625,0.0,5.9,2.25,713.0000000000001,86.00006103515625,626.9999389648439,1910.0000000000002,815.0,-1095.0000000000002,1197.0,-468.00006103515636,-39.09774945991281
AAPL,2021-10-28,2021-10-21,2021-10-21,2021-10-29,2022-01-26,2.15,2.67,8.35,9.0,0.0,0.1999969482421875,12.7,3.35,482.0,19.99969482421875,462.00030517578125,1735.0000000000002,1605.0,-130.00000000000023,1253.0000000000002,332.000305175781,26.496432974922662
