ticker,earn_dt,next_earn,entry_dt,short_exp,long_exp,spot,strike,short_call,short_put,long_call,long_put
AAPL,2019-10-30,2020-01-28,2019-10-23,2019-11-01,2020-02-21,243.17999267578125,240.0,AAPL  191101C00240000,AAPL  191101P00240000,AAPL  200221C00240000,AAPL  200221P00240000
AAPL,2020-01-28,2020-04-30,2020-01-21,2020-01-31,2020-05-15,316.57000732421875,320.0,AAPL  200131C00320000,AAPL  200131P00320000,AAPL  200515C00320000,AAPL  200515P00320000
AAPL,2020-04-30,2020-07-30,2020-04-23,2020-05-01,2020-08-21,275.0299987792969,280.0,AAPL  200501C00280000,AAPL  200501P00280000,AAPL  200821C00280000,AAPL  200821P00280000
AAPL,2020-07-30,2020-10-29,2020-07-23,2020-07-31,2020-11-20,371.3800048828125,370.0,AAPL  200731C00370000,AAPL  200731P00370000,AAPL  201120C00370000,AAPL  201120P00370000
AAPL,2020-10-29,2021-01-27,2020-10-22,2020-10-30,2021-02-19,115.75,115.0,AAPL  201030C00115000,AAPL  201030P00115000,AAPL  210219C00115000,AAPL  210219P00115000
AAPL,2021-01-27,2021-04-28,2021-01-20,2021-01-29,2021-05-21,132.02999877929688,130.0,AAPL  210129C00130000,AAPL  210129P00130000,AAPL  210521C00130000,AAPL  210521P00130000
AAPL,2021-04-28,2021-07-27,2021-04-21,2021-04-30,2021-08-20,133.5,135.0,AAPL  210430C00135000,AAPL  210430P00135000,AAPL  210820C00135000,AAPL  210820P00135000
AAPL,2021-07-27,2021-10-28,2021-07-20,2021-07-30,2021-11-19,146.14999389648438,145.0,AAPL  210730C00145000,AAPL  210730P00145000,AAPL  211119C00145000,AAPL  211119P00145000
AAPL,2021-10-28,2022-01-27,2021-10-21,2021-10-29,2022-02-18,149.47999572753906,150.0,AAPL  211029C00150000,AAPL  211029P00150000,AAPL  220218C00150000,AAPL  220218P00150000
AAPL,2022-01-27,2022-04-28,2022-01-20,2022-01-28,2022-05-20,164.50999450683594,165.0,AAPL  220128C00165000,AAPL  220128P00165000,AAPL  220520C00165000,AAPL  220520P00165000
AAPL,2022-04-28,2022-07-28,2022-04-21,2022-04-29,2022-08-19,166.4199981689453,165.0,AAPL  220429C00165000,AAPL  220429P00165000,AAPL  220819C00165000,AAPL  220819P00165000
AAPL,2022-07-28,2022-10-27,2022-07-21,2022-07-29,2022-11-18,155.35000610351562,155.0,AAPL  220729C00155000,AAPL  220729P00155000,AAPL  221118C00155000,AAPL  221118P00155000
AAPL,2022-10-27,2023-02-02,2022-10-20,2022-10-28,2023-02-17,143.38999938964844,145.0,AAPL  221028C00145000,AAPL  221028P00145000,AAPL  230217C00145000,AAPL  230217P00145000
AAPL,2023-02-02,2023-05-04,2023-01-26,2023-02-03,2023-05-19,143.9600067138672,145.0,AAPL  230203C00145000,AAPL  230203P00145000,AAPL  230519C00145000,AAPL  230519P00145000
AAPL,2023-05-04,2023-08-03,2023-04-27,2023-05-05,2023-08-18,168.41000366210938,170.0,AAPL  230505C00170000,AAPL  230505P00170000,AAPL  230818C00170000,AAPL  230818P00170000
AAPL,2023-08-03,2023-11-02,2023-07-27,2023-08-04,2023-11-17,193.22000122070312,195.0,AAPL  230804C00195000,AAPL  230804P00195000,AAPL  231117C00195000,AAPL  231117P00195000
AAPL,2023-11-02,2024-02-01,2023-10-26,2023-11-03,2024-02-16,166.88999938964844,165.0,AAPL  231103C00165000,AAPL  231103P00165000,AAPL  240216C00165000,AAPL  240216P00165000
AAPL,2024-02-01,2024-05-02,2024-01-25,2024-02-02,2024-05-17,194.1699981689453,195.0,AAPL  240202C00195000,AAPL  240202P00195000,AAPL  240517C00195000,AAPL  240517P00195000
AAPL,2024-05-02,2024-08-01,2024-04-25,2024-05-03,2024-08-16,169.88999938964844,170.0,AAPL  240503C00170000,AAPL  240503P00170000,AAPL  240816C00170000,AAPL  240816P00170000
AAPL,2024-08-01,2024-10-31,2024-07-25,2024-08-02,2024-11-15,217.49000549316406,220.0,AAPL  240802C00220000,AAPL  240802P00220000,AAPL  241115C00220000,AAPL  241115P00220000
AAPL,2024-10-31,2025-01-30,2024-10-24,2024-11-01,2025-02-21,230.57000732421875,230.0,AAPL  241101C00230000,AAPL  241101P00230000,AAPL  250221C00230000,AAPL  250221P00230000
AAPL,2025-01-30,2025-05-01,2025-01-23,2025-01-31,2025-05-16,223.66000366210938,220.0,AAPL  250131C00220000,AAPL  250131P00220000,AAPL  250516C00220000,AAPL  250516P00220000
AAPL,2025-05-01,2025-07-31,2025-04-24,2025-05-02,2025-08-15,208.3699951171875,210.0,AAPL  250502C00210000,AAPL  250502P00210000,AAPL  250815C00210000,AAPL  250815P00210000
AAPL,2025-07-31,2025-10-30,2025-07-24,2025-08-01,2025-11-21,213.75999450683594,210.0,AAPL  250801C00210000,AAPL  250801P00210000,AAPL  251121C00210000,AAPL  251121P00210000
AAPL,2025-10-30,2026-01-29,2025-10-23,2025-10-31,2026-02-20,259.5799865722656,260.0,AAPL  251031C00260000,AAPL  251031P00260000,AAPL  260220C00260000,AAPL  260220P00260000
AAPL,2026-01-29,2026-07-30,2026-01-22,2026-01-30,2026-08-21,248.35000610351562,250.0,AAPL  260130C00250000,AAPL  260130P00250000,AAPL  260821C00250000,AAPL  260821P00250000
ABNB,2021-02-25,2021-05-14,2021-02-18,2021-02-26,2021-05-21,198.0399932861328,200.0,ABNB  210226C00200000,ABNB  210226P00200000,ABNB  210521C00200000,ABNB  210521P00200000
