date,AAPL,ABNB,ACM,ADBE,AMAT,AMD,AMGN,AMZN,ASML,AVGO,BABA,CSCO,GOOGL,INTC,META,MSFT,MU,NFLX,NVDA,ORCL,PDD,PLTR,QCOM,TSLA,ZM
2016-01-04,105.3499984741211,,29.860000610351562,91.97000122070312,18.469999313354492,2.7699999809265137,158.33999633789062,636.9900131225586,87.30000305175781,142.27999687194824,76.69000244140625,26.40999984741211,759.4400024414062,33.9900016784668,102.22000122070312,54.79999923706055,14.329999923706055,109.96000289916992,32.36999988555908,35.75,,,50.119998931884766,223.41000080108643,
2016-01-05,102.70999908447266,,29.649999618530273,92.33999633789062,18.489999771118164,2.75,158.1699981689453,633.7900161743164,86.41999816894531,137.51999855041504,78.62999725341797,26.290000915527344,761.5299987792969,33.83000183105469,102.7300033569336,55.04999923706055,14.819999694824219,107.65999794006348,32.890000343322754,35.63999938964844,,,49.13999938964844,223.42999935150146,
2016-01-06,100.69999694824219,,29.190000534057617,91.0199966430664,17.729999542236328,2.509999990463257,156.72000122070312,632.6499938964844,84.61000061035156,133.2900047302246,77.33000183105469,26.010000228881836,759.3299865722656,33.08000183105469,102.97000122070312,54.04999923706055,14.220000267028809,117.67999649047852,31.530001163482666,35.81999969482422,,,48.63999938964844,219.04000282287598,
2016-01-07,96.44999694824219,,28.31999969482422,89.11000061035156,17.209999084472656,2.2799999713897705,152.97999572753906,607.9399871826172,82.48999786376953,129.0499973297119,72.72000122070312,25.40999984741211,740.9999847412109,31.84000015258789,97.91999816894531,52.16999816894531,13.65999984741211,114.56000328063965,30.280001163482666,35.040000915527344,,,46.13999938964844,215.65000534057617,
2016-01-08,96.95999908447266,,27.809999465942383,87.8499984741211,16.790000915527344,2.140000104904175,150.7100067138672,607.0500183105469,80.27999877929688,128.1999969482422,70.80000305175781,24.780000686645508,730.9100341796875,31.510000228881836,97.33000183105469,52.33000183105469,13.329999923706055,111.38999938964844,29.630000591278076,34.650001525878906,,,45.880001068115234,210.99999904632568,
2016-01-11,98.52999877929688,,27.309999465942383,89.37999725341797,16.68000030517578,2.3399999141693115,147.69000244140625,617.7399826049805,82.30999755859375,128.0399990081787,69.91999816894531,25.270000457763672,733.0699920654297,32.060001373291016,97.51000213623047,52.29999923706055,12.529999732971191,114.96999740600586,29.679999351501465,34.939998626708984,,,46.06999969482422,207.8499984741211,
2016-01-12,99.95999908447266,,27.65999984741211,89.81999969482422,16.75,2.390000104904175,150.7899932861328,617.8900146484375,82.6500015258789,129.91999626159668,72.68000030517578,25.350000381469727,745.3399658203125,32.68000030517578,99.37000274658203,52.779998779296875,12.720000267028809,116.57999992370605,30.179998874664307,35.369998931884766,,,46.52000045776367,209.97000217437744,
2016-01-13,97.38999938964844,,27.049999237060547,88.30000305175781,16.200000762939453,2.25,145.4600067138672,581.8099975585938,80.01000213623047,123.31000328063965,70.29000091552734,24.600000381469727,719.5700073242188,31.90999984741211,95.44000244140625,51.63999938964844,12.0600004196167,106.56000137329102,29.260001182556152,34.08000183105469,,,46.099998474121094,200.31000137329102,
2016-01-14,99.5199966430664,,26.860000610351562,89.80000305175781,16.809999465942383,2.2100000381469727,153.16000366210938,592.9999923706055,82.9000015258789,125.19000053405762,72.25,24.65999984741211,731.3899993896484,32.7400016784668,98.37000274658203,53.11000061035156,12.020000457763672,107.06000328063965,28.67000102996826,34.790000915527344,,,47.72999954223633,206.17999076843262,
2016-01-15,97.12999725341797,,26.1299991607666,89.16999816894531,16.079999923706055,2.0299999713897705,151.3000030517578,570.1800155639648,77.47000122070312,119.96999740600586,69.58999633789062,23.6200008392334,710.4900360107422,29.760000228881836,94.97000122070312,50.9900016784668,11.079999923706055,104.04000282287598,27.109999656677246,34.119998931884766,,,45.81999969482422,204.99000549316406,
2016-01-19,96.66000366210938,,25.729999542236328,89.18000030517578,16.450000762939453,1.9500000476837158,151.3000030517578,574.4800186157227,80.31999969482422,120.06999969482422,70.12999725341797,23.850000381469727,719.0799713134766,29.799999237060547,95.26000213623047,50.560001373291016,10.800000190734863,107.88999557495117,27.330000400543213,34.54999923706055,,,46.09000015258789,204.71999645233154,
2016-01-20,96.79000091552734,,25.1299991607666,87.94000244140625,16.3700008392334,1.7999999523162842,155.02000427246094,571.7699813842773,85.26000213623047,123.83000373840332,68.70999908447266,22.899999618530273,718.5600280761719,29.59000015258789,94.3499984741211,50.790000915527344,10.050000190734863,107.7400016784668,27.47999906539917,33.939998626708984,,,45.93000030517578,198.7000036239624,
2016-01-21,96.30000305175781,,24.84000015258789,88.0,16.809999465942383,2.0899999141693115,152.77999877929688,575.0199890136719,87.36000061035156,124.53000068664551,70.72000122070312,22.899999618530273,726.6699981689453,29.65999984741211,94.16000366210938,50.47999954223633,10.850000381469727,102.34999656677246,27.799999713897705,34.119998931884766,,,47.04999923706055,199.96999740600586,
2016-01-22,101.41999816894531,,25.979999542236328,89.62999725341797,17.049999237060547,2.0199999809265137,156.0800018310547,596.3800048828125,90.36000061035156,124.51000213623047,70.37000274658203,23.3700008392334,745.4599761962891,29.93000030517578,97.94000244140625,52.290000915527344,11.069999694824219,100.71999549865723,28.450000286102295,34.79999923706055,,,48.06999969482422,202.5499963760376,
2016-01-25,99.44000244140625,,25.260000228881836,86.7699966430664,16.90999984741211,2.119999885559082,153.42999267578125,596.5299987792969,89.72000122070312,124.49000358581543,69.72000122070312,23.170000076293945,733.6199951171875,29.600000381469727,97.01000213623047,51.790000915527344,10.479999542236328,99.11999702453613,28.420000076293945,34.34000015258789,,,47.58000183105469,196.38000011444092,
2016-01-26,99.98999786376953,,26.270000457763672,86.88999938964844,17.350000381469727,2.069999933242798,153.77999877929688,601.25,90.19000244140625,124.39000129699707,69.7699966430664,23.719999313354492,733.7899780273438,29.940000534057617,97.33999633789062,52.16999816894531,10.550000190734863,97.82999992370605,28.69999885559082,35.22999954223633,,,48.52000045776367,193.56000423431396,
2016-01-27,93.41999816894531,,26.040000915527344,84.8499984741211,17.09000015258789,2.130000114440918,150.47000122070312,583.3499908447266,89.70999908447266,122.34999656677246,69.54000091552734,23.43000030517578,717.5800323486328,29.809999465942383,94.44999694824219,51.220001220703125,10.390000343322754,91.14999771118164,28.359999656677246,34.90999984741211,,,47.529998779296875,188.07000160217285,
2016-01-28,94.08999633789062,,26.34000015258789,84.5199966430664,16.68000030517578,2.0799999237060547,148.35000610351562,635.3499984741211,89.80999755859375,126.3700008392334,66.91999816894531,23.110000610351562,748.3000183105469,29.969999313354492,109.11000061035156,52.060001373291016,9.890000343322754,94.40999984741211,28.05000066757202,35.33000183105469,,,43.59000015258789,189.6999979019165,
2016-01-29,97.33999633789062,,27.440000534057617,89.12999725341797,17.649999618530273,2.200000047683716,152.72999572753906,587.0000076293945,91.83999633789062,133.71000289916992,67.02999877929688,23.790000915527344,761.3500213623047,31.020000457763672,112.20999908447266,55.09000015258789,11.029999732971191,91.84000015258789,29.28999900817871,36.310001373291016,,,45.34000015258789,191.2000036239624,
2016-02-01,96.43000030517578,,26.940000534057617,89.61000061035156,17.649999618530273,2.140000104904175,152.75,574.8099899291992,92.23999786376953,137.67999649047852,67.02999877929688,23.479999542236328,770.7700347900391,30.81999969482422,115.08999633789062,54.709999084472656,10.960000038146973,94.09000396728516,29.30000066757202,36.31999969482422,,,46.11000061035156,196.9399881362915,
2016-02-02,94.4800033569336,,25.81999969482422,87.94999694824219,17.049999237060547,1.9900000095367432,150.11000061035156,552.0999908447266,88.51000213623047,133.24000358581543,65.08999633789062,22.829999923706055,780.9100341796875,29.799999237060547,114.61000061035156,53.0,10.59000015258789,91.4900016784668,28.05999994277954,35.349998474121094,,,43.150001525878906,182.77999877929688,
